selector,size,effective_size,strategy,class_scope,selection,n_test,validity,l0_count_mean,l0_count_median,l0_count_max,steps_mean,steps_median,steps_max,failure_rate,lof_scores_cf,sparsity,true_actionability,proximity_l2_jaccard,frac_oob,runtime_s
prob_ascent,256,256,random_target,target,random,15,0.7333333333333333,1.6363636363636365,2.0,3.0,1.6363636363636365,2.0,3.0,0.26666666666666666,31636321.113797758,0.15942028985507245,1.0,0.637078515727985,0.13333333333333333,480.81
prob_ascent,256,256,random_both,both,random,15,0.6666666666666666,1.6,1.5,3.0,1.6,1.5,3.0,0.3333333333333333,10244196.36823498,0.19420289855072465,1.0,0.6097532422167741,0.13333333333333333,555.57
prob_ascent,256,256,knn_target,target,knn,15,0.7333333333333333,1.6363636363636365,2.0,3.0,1.6363636363636365,2.0,3.0,0.26666666666666666,1609420.5442934232,0.1536231884057971,1.0,0.6514691117429341,0.13333333333333333,466.7
prob_ascent,256,256,knn_both,both,knn,15,0.6666666666666666,1.5,1.5,2.0,1.5,1.5,2.0,0.3333333333333333,1.9820958953676189,0.17971014492753623,1.0,0.6224734460410787,0.0,461.57
prob_ascent,512,512,random_target,target,random,15,0.6666666666666666,1.5,1.5,2.0,1.5,1.5,2.0,0.3333333333333333,10158755.145580163,0.22028985507246376,1.0,0.610746920622536,0.13333333333333333,724.86
prob_ascent,512,512,random_both,both,random,15,0.6666666666666666,1.5,1.5,2.0,1.5,1.5,2.0,0.3333333333333333,15913721.2271507,0.2028985507246377,1.0,0.610150255241674,0.13333333333333333,732.17
prob_ascent,512,512,knn_target,target,knn,15,0.8,1.8333333333333333,2.0,4.0,1.8333333333333333,2.0,4.0,0.2,1127453.581239777,0.13043478260869565,1.0,0.6915456976783908,0.2,570.32
prob_ascent,512,512,knn_both,both,knn,15,0.6666666666666666,1.5,1.5,2.0,1.5,1.5,2.0,0.3333333333333333,720151.1655968311,0.17971014492753623,1.0,0.6204209098650825,0.2,693.57
prob_ascent,1024,1024,random_target,target,random,15,0.7333333333333333,1.6363636363636365,2.0,3.0,1.6363636363636365,2.0,3.0,0.26666666666666666,10695436926.603153,0.18840579710144928,1.0,0.6649302564396286,0.26666666666666666,1014.5
prob_ascent,1024,1024,random_both,both,random,15,0.4,1.5,1.5,2.0,1.5,1.5,2.0,0.6,9939956.991242588,0.3652173913043478,1.0,0.7520252049606341,0.4666666666666667,1722.97
prob_ascent,1024,1024,knn_target,target,knn,15,0.6666666666666666,1.5,1.5,2.0,1.5,1.5,2.0,0.3333333333333333,4109210.1997925066,0.1826086956521739,1.0,0.6387774178385711,0.26666666666666666,1102.44
prob_ascent,1024,1024,knn_both,both,knn,15,0.6666666666666666,1.5,1.5,2.0,1.5,1.5,2.0,0.3333333333333333,1460571.3526258587,0.2,1.0,0.6098403310155984,0.2,1112.38
prob_ascent,2048,2048,random_target,target,random,15,0.4666666666666667,1.7142857142857142,2.0,3.0,1.7142857142857142,2.0,3.0,0.5333333333333333,6341616.931991591,0.3217391304347826,1.0,0.68005073814576,0.5333333333333333,2865.84
prob_ascent,2048,2048,random_both,both,random,15,0.4666666666666667,1.7142857142857142,2.0,3.0,1.7142857142857142,2.0,3.0,0.5333333333333333,11446932.194125496,0.3391304347826087,1.0,0.6798064993063732,0.4666666666666667,2880.78
prob_ascent,2048,2048,knn_target,target,knn,15,0.6666666666666666,1.5,1.5,2.0,1.5,1.5,2.0,0.3333333333333333,3130839.6551164067,0.2028985507246377,1.0,0.6354713188532042,0.2,2024.72
prob_ascent,2048,2048,knn_both,both,knn,15,0.7333333333333333,1.6363636363636365,2.0,3.0,1.6363636363636365,2.0,3.0,0.26666666666666666,2480455.747063634,0.15942028985507245,1.0,0.6654188981447924,0.13333333333333333,1830.2
